Cantidad de ventas por mes: 
     Año  Mes  Cantidad
0   2021    1      3735
1   2021    2      4581
2   2021    3      5413
3   2021    4      4168
4   2021    5      4430
5   2021    6      6128
6   2021    7      6202
7   2021    8      6689
8   2021    9      7191
9   2021   10      6556
10  2021   11      8137
11  2021   12      9565
12  2022    1      5944
13  2022    2      6797
14  2022    3      7729
15  2022    4      9487
16  2022    5      7886
17  2022    6      6682
18  2022    7      7399
19  2022    8      8177
20  2022    9      5648
21  2022   10      6577
22  2022   11      7449
23  2022   12      8281
24  2023    1      6085
25  2023    2      5606
26  2023    3      7834
27  2023    4      7257
Cantidad de ventas por mes vinculadas a un acuerdo:
     Año  Mes  Cantidad
0   2021    2       674
1   2021    3      1759
2   2021    4      1981
3   2021    5      1787
4   2021    6      2727
5   2021    7      2687
6   2021    8      2923
7   2021    9      3459
8   2021   10      3101
9   2021   11      3756
10  2021   12      4852
11  2022    1      2518
12  2022    2      2949
13  2022    3      3598
14  2022    4      5052
15  2022    5      3604
16  2022    6      3298
17  2022    7      3646
18  2022    8      4370
19  2022    9      3644
20  2022   10      4725
21  2022   11      4981
22  2022   12      5809
23  2023    1      4471
24  2023    2      4144
25  2023    3      5938
26  2023    4      5231
Cantidad de acuerdos activos por mes:
     Año  Mes  Cantidad
0   2021   12         4
1   2022    2         3
2   2022    3         6
3   2022    4         5
4   2022    5         8
5   2022    6         3
6   2022    7         3
7   2022    8        26
8   2022    9        29
9   2022   10        29
10  2022   11        13
11  2022   12         7
12  2023    1        16
13  2023    2        26
14  2023    3        37
15  2023    4        40
16  2023    5        34
Cantidad de acuerdos activos por mes vinculados a una venta:
     Año  Mes  Cantidad
0   2021   12         4
1   2022    2         3
2   2022    3         6
3   2022    4         5
4   2022    5         8
5   2022    6         3
6   2022    7         3
7   2022    8        26
8   2022    9        29
9   2022   10        29
10  2022   11        13
11  2022   12         7
12  2023    1        16
13  2023    2        25
14  2023    3        37
15  2023    4        32
Liberaciones totales: 3667
Liberaciones totales activas: 2009

